Date,High,Low,Open,Close,Volume,Adj Close
2017-02-10,998.9050293,946.690979,995.632019,988.6740112,190452000,988.6740112
2017-02-11,1009.289978,982.8300171,988.8980103,1004.450012,102261000,1004.450012
2017-02-12,1004.76001,996.9210205,1003.52002,999.1810303,67530000,999.1810303
2017-02-13,1002.099976,976.0020142,998.8850098,990.6420288,100607000,990.6420288
2017-02-14,1011.51001,986.4710083,991.7349854,1004.549988,137946000,1004.549988
2017-02-15,1008.840027,1001.580017,1006.210022,1007.47998,89759400,1007.47998
2017-02-16,1033.369995,1007.650024,1007.650024,1027.439941,122277000,1027.439941
2017-02-17,1053.170044,1025.640015,1026.119995,1046.209961,136474000,1046.209961
2017-02-18,1061.099976,1046.959961,1049.209961,1054.420044,99073504,1054.420044
2017-02-19,1056.810059,1043.459961,1054.76001,1047.869995,77423296,1047.869995
2017-02-20,1080.48999,1041.689941,1048.689941,1079.97998,109478000,1079.97998
2017-02-21,1117.25,1076.930054,1079.280029,1115.300049,186868992,1115.300049
2017-02-22,1125.390015,1100.550049,1114.800049,1117.439941,136100000,1117.439941
2017-02-23,1176.619995,1116.959961,1117.27002,1166.719971,189454000,1166.719971
2017-02-24,1200.390015,1131.959961,1172.709961,1173.680054,330759008,1173.680054
2017-02-25,1174.849976,1124.589966,1170.410034,1143.839966,139960992,1143.839966
2017-02-26,1167.469971,1130.199951,1144.27002,1165.199951,116486000,1165.199951
2017-02-27,1181.97998,1163.380005,1163.780029,1179.969971,131570000,1179.969971
2017-02-28,1193.25,1171.819946,1180.719971,1179.969971,184956000,1179.969971
2017-03-01,1222.5,1179.689941,1180.040039,1222.5,229056992,1222.5
2017-03-02,1262.130005,1215.619995,1224.680054,1251.01001,368275008,1251.01001
2017-03-03,1280.310059,1250.709961,1250.709961,1274.98999,315739008,1274.98999
2017-03-04,1279.400024,1230.51001,1277.430054,1255.150024,183270000,1255.150024
2017-03-05,1267.290039,1238.060059,1254.290039,1267.119995,134127000,1267.119995
2017-03-06,1276,1264.599976,1267.469971,1272.829956,153656992,1272.829956
2017-03-07,1275.550049,1204.800049,1273.209961,1223.540039,291256000,1223.540039
2017-03-08,1232.160034,1148.079956,1223.22998,1150,332603008,1150
2017-03-09,1197.459961,1141.22998,1150.349976,1188.48999,212283008,1188.48999
2017-03-10,1270.469971,1077.25,1189.359985,1116.719971,563795968,1116.719971
2017-03-11,1193.829956,1116.319946,1116.319946,1175.829956,283320000,1175.829956
2017-03-12,1226.97998,1175.359985,1176.619995,1221.380005,227176000,1221.380005
2017-03-13,1237.369995,1217.030029,1221.780029,1231.920044,380276992,1231.920044
2017-03-14,1244.810059,1220.719971,1232.160034,1240,245306000,1240
2017-03-15,1251.609985,1239.75,1240.160034,1249.609985,297804992,1249.609985
2017-03-16,1257.97998,1152.439941,1251.329956,1187.810059,638568000,1187.810059
2017-03-17,1180.160034,1099.569946,1180.160034,1100.22998,706598976,1100.22998
2017-03-18,1114.069946,957.6550293,1099.689941,973.8179932,621302016,973.8179932
2017-03-19,1069.910034,976.7299805,976.7299805,1036.73999,406648000,1036.73999
2017-03-20,1063.030029,1036.680054,1037.23999,1054.22998,286529984,1054.22998
2017-03-21,1122.430054,1055.359985,1055.359985,1120.540039,337391008,1120.540039
2017-03-22,1120.650024,1014.210022,1120.650024,1049.140015,380840992,1049.140015
2017-03-23,1058.01001,1028.930054,1050.050049,1038.589966,248540000,1038.589966
2017-03-24,1040.469971,934.3579712,1038.449951,937.5200195,491038016,937.5200195
2017-03-25,975.7609863,903.7130127,936.539978,972.7789917,435803008,972.7789917
2017-03-26,1007.960022,954.1859741,974.0150146,966.7249756,303668000,966.7249756
2017-03-26,1046.400024,971.9840088,972.0549927,1045.77002,372535008,1045.77002
2017-03-27,1064.650024,1027.72998,1044.579956,1047.150024,326332000,1047.150024
2017-03-28,1055.130005,1015.880005,1046.079956,1039.969971,298457984,1039.969971
2017-03-29,1049.290039,1020.039978,1042.209961,1026.430054,352968992,1026.430054
2017-03-30,1074.920044,1026.640015,1026.640015,1071.790039,447287008,1071.790039
2017-03-31,1091.719971,1061.089966,1071.709961,1080.5,289633984,1080.5
2017-04-01,1107.589966,1075.449951,1080.609985,1102.170044,514187008,1102.170044
2017-04-02,1151.73999,1102.949951,1102.949951,1143.810059,580444032,1143.810059
2017-04-03,1156.439941,1120.52002,1145.52002,1133.25,436310016,1133.25
2017-04-04,1135.089966,1113.630005,1134.140015,1124.780029,414784000,1124.780029
2017-04-05,1188.369995,1125.810059,1125.810059,1182.680054,511222016,1182.680054
